city,tweet
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Local police responded to a possession of stolen property call from a resident.
Boston,Local police responded to a public intoxication call from a resident.
Boston,A case of embezzlement was reported earlier today.
Boston,A case of embezzlement was reported earlier today.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Officials are looking into fraud at a local establishment.
Boston,Local police responded to a trespassing call from a resident.
Boston,Officials are looking into fraud at a local establishment.
Boston,Officials are looking into possession of stolen property at a local establishment.
Boston,A case of tax evasion was reported earlier today.
Boston,A case of vandalism was reported earlier today.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,Local police responded to a tax evasion call from a resident.
Boston,Local police responded to a forgery call from a resident.
Boston,A case of reckless driving was reported earlier today.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Local police responded to a identity theft call from a resident.
Boston,A case of illegal gambling was reported earlier today.
Boston,Officials are looking into forgery at a local establishment.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Local police responded to a theft call from a resident.
Boston,Officials are looking into theft at a local establishment.
Boston,Officials are looking into theft at a local establishment.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Officials are looking into identity theft at a local establishment.
Boston,A case of public intoxication was reported earlier today.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,A case of trespassing was reported earlier today.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,Officials are looking into fraud at a local establishment.
Boston,Officials are looking into identity theft at a local establishment.
Boston,A case of reckless driving was reported earlier today.
Boston,Local police responded to a illegal gambling call from a resident.
Boston,Multiple reports of arson just came in.
Boston,Officials are looking into fraud at a local establishment.
Boston,Officials are looking into identity theft at a local establishment.
Boston,Multiple reports of murder just came in.
Boston,A case of vandalism was reported earlier today.
Boston,A case of trespassing was reported earlier today.
Boston,A case of fraud was reported earlier today.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,Local police responded to a forgery call from a resident.
Boston,Authorities are investigating an incident involving sexual assault.
Boston,A case of disorderly conduct was reported earlier today.
Boston,Officials are looking into fraud at a local establishment.
Boston,Officials are looking into forgery at a local establishment.
Boston,Authorities are investigating an incident involving stalking.
Boston,A case of vandalism was reported earlier today.
Boston,A case of trespassing was reported earlier today.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Local police responded to a illegal gambling call from a resident.
Boston,A case of forgery was reported earlier today.
Boston,Police received a tip about ongoing hate crime in the area.
Boston,A case of embezzlement was reported earlier today.
Boston,Officials are looking into illegal gambling at a local establishment.
Boston,Local police responded to a reckless driving call from a resident.
Boston,A case of forgery was reported earlier today.
Boston,A case of identity theft was reported earlier today.
Boston,A case of embezzlement was reported earlier today.
Boston,Local police responded to a public intoxication call from a resident.
Boston,A case of vandalism was reported earlier today.
Boston,A case of public intoxication was reported earlier today.
Boston,Local police responded to a disorderly conduct call from a resident.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,A case of illegal gambling was reported earlier today.
Boston,Police received a tip about ongoing battery in the area.
Boston,A case of fraud was reported earlier today.
Boston,Local police responded to a tax evasion call from a resident.
Boston,Local police responded to a embezzlement call from a resident.
Boston,A case of embezzlement was reported earlier today.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Multiple reports of hate crime just came in.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Local police responded to a reckless driving call from a resident.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,A case of reckless driving was reported earlier today.
Boston,Local police responded to a vandalism call from a resident.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Local police responded to a forgery call from a resident.
Boston,Authorities are investigating an incident involving assault.
Boston,Local police responded to a illegal gambling call from a resident.
Boston,Local police responded to a theft call from a resident.
Boston,Officials are looking into illegal gambling at a local establishment.
Boston,Officials are looking into theft at a local establishment.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,Local police responded to a fraud call from a resident.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Authorities are investigating an incident involving manslaughter.
Boston,Officials are looking into vandalism at a local establishment.
Boston,Local police responded to a forgery call from a resident.
Boston,Local police responded to a vandalism call from a resident.
Boston,A case of theft was reported earlier today.
Boston,A case of vandalism was reported earlier today.
Boston,A case of fraud was reported earlier today.
Boston,Authorities are investigating an incident involving manslaughter.
Boston,Local police responded to a identity theft call from a resident.
Boston,Officials are looking into possession of stolen property at a local establishment.
Boston,Officials are looking into theft at a local establishment.
Boston,Officials are looking into theft at a local establishment.
Boston,Officials are looking into identity theft at a local establishment.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,A case of theft was reported earlier today.
Boston,Local police responded to a possession of stolen property call from a resident.
Boston,Officials are looking into fraud at a local establishment.
Boston,Officials are looking into identity theft at a local establishment.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,A case of disorderly conduct was reported earlier today.
Boston,Officials are looking into theft at a local establishment.
Boston,Officials are looking into fraud at a local establishment.
Boston,A case of public intoxication was reported earlier today.
Boston,Multiple reports of assault just came in.
Boston,Local police responded to a possession of stolen property call from a resident.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Officials are looking into forgery at a local establishment.
Boston,Local police responded to a reckless driving call from a resident.
Boston,Local police responded to a identity theft call from a resident.
Boston,Local police responded to a disorderly conduct call from a resident.
Boston,A case of embezzlement was reported earlier today.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Officials are looking into fraud at a local establishment.
Boston,Police received a tip about ongoing hate crime in the area.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Multiple reports of arson just came in.
Boston,Local police responded to a disorderly conduct call from a resident.
Boston,A case of possession of stolen property was reported earlier today.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Local police responded to a disorderly conduct call from a resident.
Boston,Multiple reports of vehicular homicide just came in.
Boston,Officials are looking into possession of stolen property at a local establishment.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,A case of illegal gambling was reported earlier today.
Boston,Local police responded to a tax evasion call from a resident.
Boston,Local police responded to a theft call from a resident.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,Local police responded to a trespassing call from a resident.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,A case of tax evasion was reported earlier today.
Boston,A case of forgery was reported earlier today.
Boston,Local police responded to a illegal gambling call from a resident.
Boston,Officials are looking into possession of stolen property at a local establishment.
Boston,Officials are looking into vandalism at a local establishment.
Boston,Authorities are investigating an incident involving kidnapping.
Boston,A case of disorderly conduct was reported earlier today.
Boston,A case of tax evasion was reported earlier today.
Boston,A case of fraud was reported earlier today.
Boston,Local police responded to a public intoxication call from a resident.
Boston,A case of vandalism was reported earlier today.
Boston,Local police responded to a fraud call from a resident.
Boston,Local police responded to a tax evasion call from a resident.
Boston,Local police responded to a identity theft call from a resident.
Boston,Officials are looking into theft at a local establishment.
Boston,A case of reckless driving was reported earlier today.
Boston,Local police responded to a tax evasion call from a resident.
Boston,Local police responded to a reckless driving call from a resident.
Boston,Officials are looking into forgery at a local establishment.
Boston,Authorities are investigating an incident involving robbery.
Boston,Local police responded to a forgery call from a resident.
Boston,Officials are looking into trespassing at a local establishment.
Boston,A case of forgery was reported earlier today.
Boston,A case of disorderly conduct was reported earlier today.
Boston,A case of tax evasion was reported earlier today.
Boston,Officials are looking into forgery at a local establishment.
Boston,Officials are looking into trespassing at a local establishment.
Boston,A case of reckless driving was reported earlier today.
Boston,Authorities are investigating an incident involving vehicular homicide.
Boston,A case of embezzlement was reported earlier today.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Local police responded to a disorderly conduct call from a resident.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,A case of tax evasion was reported earlier today.
Boston,Local police responded to a reckless driving call from a resident.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Officials are looking into possession of stolen property at a local establishment.
Boston,Local police responded to a possession of stolen property call from a resident.
Boston,Officials are looking into vandalism at a local establishment.
Boston,Local police responded to a embezzlement call from a resident.
Boston,Officials are looking into forgery at a local establishment.
Boston,Officials are looking into possession of stolen property at a local establishment.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,A case of forgery was reported earlier today.
Boston,A case of public intoxication was reported earlier today.
Boston,A case of theft was reported earlier today.
Boston,A case of theft was reported earlier today.
Boston,Officials are looking into fraud at a local establishment.
Boston,Police received a tip about ongoing hate crime in the area.
Boston,Local police responded to a vandalism call from a resident.
Boston,Local police responded to a reckless driving call from a resident.
Boston,Officials are looking into illegal gambling at a local establishment.
Boston,A case of disorderly conduct was reported earlier today.
Boston,Officials are looking into possession of stolen property at a local establishment.
Boston,A case of disorderly conduct was reported earlier today.
Boston,Officials are looking into forgery at a local establishment.
Boston,Officials are looking into forgery at a local establishment.
Boston,A case of forgery was reported earlier today.
Boston,Local police responded to a theft call from a resident.
Boston,Officials are looking into theft at a local establishment.
Boston,Authorities are investigating an incident involving manslaughter.
Boston,Officials are looking into forgery at a local establishment.
Boston,Local police responded to a illegal gambling call from a resident.
Boston,A case of tax evasion was reported earlier today.
Boston,A case of illegal gambling was reported earlier today.
Boston,Police received a tip about ongoing hate crime in the area.
Boston,Authorities are investigating an incident involving vehicular homicide.
Boston,A case of trespassing was reported earlier today.
Boston,Officials are looking into illegal gambling at a local establishment.
Boston,A case of forgery was reported earlier today.
Boston,Local police responded to a illegal gambling call from a resident.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,A case of public intoxication was reported earlier today.
Boston,A case of identity theft was reported earlier today.
Boston,Officials are looking into forgery at a local establishment.
Boston,Officials are looking into identity theft at a local establishment.
Boston,A case of fraud was reported earlier today.
Boston,Local police responded to a identity theft call from a resident.
Boston,A case of forgery was reported earlier today.
Boston,A case of reckless driving was reported earlier today.
Boston,Officials are looking into theft at a local establishment.
Boston,Officials are looking into vandalism at a local establishment.
Boston,A case of reckless driving was reported earlier today.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,A case of disorderly conduct was reported earlier today.
Boston,Authorities are investigating an incident involving hate crime.
Boston,Multiple reports of arson just came in.
Boston,Local police responded to a embezzlement call from a resident.
Boston,Local police responded to a identity theft call from a resident.
Boston,Local police responded to a forgery call from a resident.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,Authorities are investigating an incident involving domestic violence.
Boston,A case of embezzlement was reported earlier today.
Boston,Multiple reports of vehicular homicide just came in.
Boston,A case of reckless driving was reported earlier today.
Boston,Local police responded to a reckless driving call from a resident.
Boston,Authorities are investigating an incident involving manslaughter.
Boston,Local police responded to a identity theft call from a resident.
Boston,A case of embezzlement was reported earlier today.
Boston,Local police responded to a theft call from a resident.
Boston,Officials are looking into illegal gambling at a local establishment.
Boston,Officials are looking into illegal gambling at a local establishment.
Boston,Officials are looking into identity theft at a local establishment.
Boston,Local police responded to a tax evasion call from a resident.
Boston,A case of possession of stolen property was reported earlier today.
Boston,Local police responded to a identity theft call from a resident.
Boston,A case of vandalism was reported earlier today.
Boston,Local police responded to a fraud call from a resident.
Boston,A case of tax evasion was reported earlier today.
Boston,Local police responded to a forgery call from a resident.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,Officials are looking into identity theft at a local establishment.
Boston,A case of identity theft was reported earlier today.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,A case of public intoxication was reported earlier today.
Boston,Officials are looking into identity theft at a local establishment.
Boston,Officials are looking into theft at a local establishment.
Boston,Officials are looking into identity theft at a local establishment.
Boston,A case of tax evasion was reported earlier today.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Local police responded to a identity theft call from a resident.
Boston,Officials are looking into illegal gambling at a local establishment.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,Officials are looking into fraud at a local establishment.
Boston,A case of embezzlement was reported earlier today.
Boston,A case of possession of stolen property was reported earlier today.
Boston,Local police responded to a identity theft call from a resident.
Boston,Local police responded to a illegal gambling call from a resident.
Boston,A case of fraud was reported earlier today.
Boston,Officials are looking into forgery at a local establishment.
Boston,Officials are looking into vandalism at a local establishment.
Boston,Multiple reports of arson just came in.
Boston,Multiple reports of arson just came in.
Boston,A case of forgery was reported earlier today.
Boston,Authorities are investigating an incident involving stalking.
Boston,A case of theft was reported earlier today.
Boston,A case of reckless driving was reported earlier today.
Boston,A case of disorderly conduct was reported earlier today.
Boston,A case of vandalism was reported earlier today.
Boston,Local police responded to a theft call from a resident.
Boston,Local police responded to a vandalism call from a resident.
Boston,A case of disorderly conduct was reported earlier today.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,A case of trespassing was reported earlier today.
Boston,Authorities are investigating an incident involving domestic violence.
Boston,Officials are looking into forgery at a local establishment.
Boston,Local police responded to a forgery call from a resident.
Boston,A case of reckless driving was reported earlier today.
Boston,Officials are looking into possession of stolen property at a local establishment.
Boston,Local police responded to a tax evasion call from a resident.
Boston,Officials are looking into vandalism at a local establishment.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Officials are looking into identity theft at a local establishment.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,A case of embezzlement was reported earlier today.
Boston,Officials are looking into possession of stolen property at a local establishment.
Boston,Multiple reports of robbery just came in.
Boston,A case of embezzlement was reported earlier today.
Boston,Local police responded to a trespassing call from a resident.
Boston,A case of embezzlement was reported earlier today.
Boston,Local police responded to a vandalism call from a resident.
Boston,Local police responded to a fraud call from a resident.
Boston,Local police responded to a embezzlement call from a resident.
Boston,A case of forgery was reported earlier today.
Boston,Officials are looking into illegal gambling at a local establishment.
Boston,Local police responded to a identity theft call from a resident.
Boston,Local police responded to a illegal gambling call from a resident.
Boston,Officials are looking into identity theft at a local establishment.
Boston,A case of possession of stolen property was reported earlier today.
Boston,Local police responded to a disorderly conduct call from a resident.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,Officials are looking into possession of stolen property at a local establishment.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,A case of public intoxication was reported earlier today.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,Local police responded to a possession of stolen property call from a resident.
Boston,Officials are looking into fraud at a local establishment.
Boston,Officials are looking into illegal gambling at a local establishment.
Boston,A case of illegal gambling was reported earlier today.
Boston,A case of possession of stolen property was reported earlier today.
Boston,Local police responded to a theft call from a resident.
Boston,Local police responded to a possession of stolen property call from a resident.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,A case of possession of stolen property was reported earlier today.
Boston,Local police responded to a vandalism call from a resident.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,A case of public intoxication was reported earlier today.
Boston,Local police responded to a disorderly conduct call from a resident.
Boston,A case of forgery was reported earlier today.
Boston,Local police responded to a tax evasion call from a resident.
Boston,Police received a tip about ongoing kidnapping in the area.
Boston,Officials are looking into trespassing at a local establishment.
Boston,A case of reckless driving was reported earlier today.
Boston,Multiple reports of murder just came in.
Boston,Local police responded to a fraud call from a resident.
Boston,A case of possession of stolen property was reported earlier today.
Boston,Local police responded to a possession of stolen property call from a resident.
Boston,Local police responded to a trespassing call from a resident.
Boston,A case of disorderly conduct was reported earlier today.
Boston,Local police responded to a fraud call from a resident.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,Officials are looking into identity theft at a local establishment.
Boston,Officials are looking into vandalism at a local establishment.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Local police responded to a fraud call from a resident.
Boston,Local police responded to a embezzlement call from a resident.
Boston,Local police responded to a vandalism call from a resident.
Boston,Local police responded to a embezzlement call from a resident.
Boston,A case of trespassing was reported earlier today.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,Local police responded to a tax evasion call from a resident.
Boston,Local police responded to a reckless driving call from a resident.
Boston,A case of forgery was reported earlier today.
Boston,Officials are looking into vandalism at a local establishment.
Boston,Officials are looking into theft at a local establishment.
Boston,Officials are looking into theft at a local establishment.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,Officials are looking into vandalism at a local establishment.
Boston,Local police responded to a fraud call from a resident.
Boston,Local police responded to a possession of stolen property call from a resident.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,Local police responded to a reckless driving call from a resident.
Boston,A case of theft was reported earlier today.
Boston,Officials are looking into identity theft at a local establishment.
Boston,Officials are looking into fraud at a local establishment.
Boston,A case of possession of stolen property was reported earlier today.
Boston,Local police responded to a theft call from a resident.
Boston,Multiple reports of robbery just came in.
Boston,Local police responded to a possession of stolen property call from a resident.
Boston,Local police responded to a possession of stolen property call from a resident.
Boston,Local police responded to a vandalism call from a resident.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Local police responded to a embezzlement call from a resident.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,Local police responded to a fraud call from a resident.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Local police responded to a trespassing call from a resident.
Boston,A case of tax evasion was reported earlier today.
Boston,A case of public intoxication was reported earlier today.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Local police responded to a tax evasion call from a resident.
Boston,A case of possession of stolen property was reported earlier today.
Boston,Authorities are investigating an incident involving robbery.
Boston,A case of forgery was reported earlier today.
Boston,A case of vandalism was reported earlier today.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,Local police responded to a trespassing call from a resident.
Boston,Local police responded to a theft call from a resident.
Boston,A case of identity theft was reported earlier today.
Boston,Officials are looking into vandalism at a local establishment.
Boston,Local police responded to a vandalism call from a resident.
Boston,Local police responded to a tax evasion call from a resident.
Boston,A case of vandalism was reported earlier today.
Boston,Multiple reports of battery just came in.
Boston,Local police responded to a identity theft call from a resident.
Boston,Officials are looking into vandalism at a local establishment.
Boston,A case of public intoxication was reported earlier today.
Boston,Local police responded to a theft call from a resident.
Boston,A case of public intoxication was reported earlier today.
Boston,Multiple reports of vehicular homicide just came in.
Boston,Local police responded to a forgery call from a resident.
Boston,Local police responded to a disorderly conduct call from a resident.
Boston,Local police responded to a theft call from a resident.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Local police responded to a identity theft call from a resident.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,A case of fraud was reported earlier today.
Boston,A case of possession of stolen property was reported earlier today.
Boston,A case of identity theft was reported earlier today.
Boston,Officials are looking into possession of stolen property at a local establishment.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,Local police responded to a public intoxication call from a resident.
Boston,A case of vandalism was reported earlier today.
Boston,Local police responded to a forgery call from a resident.
Boston,A case of vandalism was reported earlier today.
Boston,Officials are looking into fraud at a local establishment.
Boston,Officials are looking into vandalism at a local establishment.
Boston,A case of identity theft was reported earlier today.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Officials are looking into forgery at a local establishment.
Boston,A case of fraud was reported earlier today.
Boston,Local police responded to a tax evasion call from a resident.
Boston,Officials are looking into theft at a local establishment.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,Officials are looking into illegal gambling at a local establishment.
Boston,A case of identity theft was reported earlier today.
Boston,Authorities are investigating an incident involving stalking.
Boston,A case of tax evasion was reported earlier today.
Boston,Multiple reports of murder just came in.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Local police responded to a disorderly conduct call from a resident.
Boston,Officials are looking into disorderly conduct at a local establishment.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Local police responded to a embezzlement call from a resident.
Boston,A case of tax evasion was reported earlier today.
Boston,Authorities are investigating an incident involving stalking.
Boston,Officials are looking into reckless driving at a local establishment.
Boston,Officials are looking into fraud at a local establishment.
Boston,A case of reckless driving was reported earlier today.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Officials are looking into trespassing at a local establishment.
Boston,Local police responded to a identity theft call from a resident.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,Officials are looking into illegal gambling at a local establishment.
Boston,Authorities are investigating an incident involving assault.
Boston,A case of disorderly conduct was reported earlier today.
Boston,Local police responded to a vandalism call from a resident.
Boston,Local police responded to a public intoxication call from a resident.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,Officials are looking into trespassing at a local establishment.
Boston,A case of forgery was reported earlier today.
Boston,A case of trespassing was reported earlier today.
Boston,A case of identity theft was reported earlier today.
Boston,A case of vandalism was reported earlier today.
Boston,Local police responded to a trespassing call from a resident.
Boston,Officials are looking into forgery at a local establishment.
Boston,Local police responded to a trespassing call from a resident.
Boston,Local police responded to a vandalism call from a resident.
Boston,Multiple reports of hate crime just came in.
Boston,Officials are looking into vandalism at a local establishment.
Boston,A case of public intoxication was reported earlier today.
Boston,A case of illegal gambling was reported earlier today.
Boston,A case of disorderly conduct was reported earlier today.
Boston,A case of embezzlement was reported earlier today.
Boston,A case of disorderly conduct was reported earlier today.
Boston,Officials are looking into embezzlement at a local establishment.
Boston,Authorities are investigating an incident involving robbery.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,A case of illegal gambling was reported earlier today.
Boston,Officials are looking into tax evasion at a local establishment.
Boston,Multiple reports of arson just came in.
Boston,A case of forgery was reported earlier today.
Boston,Local police responded to a disorderly conduct call from a resident.
Boston,Local police responded to a fraud call from a resident.
Boston,Police received a tip about ongoing hate crime in the area.
Boston,Local police responded to a vandalism call from a resident.
Boston,Local police responded to a forgery call from a resident.
Boston,Officials are looking into identity theft at a local establishment.
Boston,A case of tax evasion was reported earlier today.
Boston,A case of public intoxication was reported earlier today.
Boston,Local police responded to a tax evasion call from a resident.
Boston,Officials are looking into public intoxication at a local establishment.
Boston,A case of fraud was reported earlier today.
Boston,Local police responded to a disorderly conduct call from a resident.
